20:03:08 [INFO] Found game object: Chunk (0,-16)
20:03:08 [INFO] Found game object: Chunk (0,-16)
20:03:08 [INFO] Found scene: Win
20:03:08 [INFO] Found game object: Start
20:03:08 [INFO] Found game object: EndScreenManager
20:03:08 [INFO] Found game object: Quit
20:03:08 [INFO] Found game object: Player
20:03:08 [INFO] Found game object: EventSystem
20:03:08 [INFO] Found game object: Main Camera
20:03:08 [INFO] Found game object: Buttons
20:03:08 [INFO] Found game object: Image
20:03:08 [INFO] Found game object: Text
20:03:08 [INFO] Found game object: Text
20:03:08 [INFO] Found game object: Canvas
20:03:08 [INFO] Found game object: Outcome
20:03:08 [INFO] Found scene: fppInventory
20:03:08 [INFO] Found game object: SpellChest (2)
20:03:08 [INFO] Found game object: CapeChest
20:03:08 [INFO] Found game object: Player
20:03:08 [INFO] Found game object: SpellChest
20:03:08 [INFO] Found game object: Square (2)
20:03:08 [INFO] Found game object: boots (6)
20:03:08 [INFO] Found game object: boots (1)
20:03:08 [INFO] Found game object: UpgradeChest
20:03:08 [INFO] Found game object: EventSystem
20:03:08 [INFO] Found game object: BootChest
20:03:08 [INFO] Found game object: BootChest
20:03:08 [INFO] Found game object: boots
20:03:08 [INFO] Found game object: SpellChest (3)
20:03:08 [INFO] Found game object: Square (1)
20:03:08 [INFO] Found game object: GameManager
20:03:08 [INFO] Found game object: SpellChest (1)
20:03:08 [INFO] Found game object: boots (2)
20:03:08 [INFO] Found game object: Cape
20:03:08 [INFO] Found game object: boots (5)
20:03:08 [INFO] Found game object: Canvas
20:03:08 [INFO] Found game object: Square
20:03:08 [INFO] Found game object: Chest
20:03:08 [INFO] Found scene: SpellDemoChamber
20:03:08 [INFO] Found game object: ScoreManager
20:03:08 [INFO] Found game object: Player
20:03:08 [INFO] Found game object: Platform
20:03:08 [INFO] Found game object: Ground
20:03:08 [INFO] Found game object: Canvas
20:03:08 [INFO] Found game object: LeftWall
20:03:08 [INFO] Found game object: Firebolt (1)
20:03:08 [INFO] Found game object: EventSystem
20:03:08 [INFO] Found game object: DontDestroyManager
20:03:08 [INFO] Found game object: Firebolt
20:03:08 [INFO] Found game object: RightWall
20:03:08 [INFO] Found game object: GameManager
20:03:08 [INFO] Found scene: Tutorial
20:03:08 [INFO] Found game object: DontDestroyManager
20:03:08 [INFO] Found game object: Canvas
20:03:08 [INFO] Found game object: TutorialLvlEs
20:03:08 [INFO] Found game object: GameManager
